chunk_id,record_start,record_end,infer_start,infer_end,label,score
chunk_1,1763718484.6858265,1763718485.7120132,1763718485.7120137,1763718485.8530817,on,0.9999996423721313
chunk_2,1763718485.8533082,1763718486.8795736,1763718486.879575,1763718486.9261656,on,0.999998927116394
chunk_3,1763718486.926469,1763718487.9516625,1763718487.951664,1763718487.9980009,off,0.9967419505119324
chunk_4,1763718487.9982333,1763718489.0234423,1763718489.0234435,1763718489.0723486,off,0.9999704360961914
chunk_5,1763718489.0725796,1763718490.1009936,1763718490.1009948,1763718490.1503766,off,0.9998937845230103
chunk_6,1763718490.1506507,1763718491.1783674,1763718491.1783688,1763718491.226169,stop,0.99954754114151
